respondent_id,xyz_vaccine,seasonal_vaccine
26917,0.1,0.11
26918,0.77,0.98
26919,0.2,0.65
26920,0.02,0.06
26921,0.1,0.74
26922,0.04,0.82
26923,0.18,0.56
26924,0.89,0.97
26925,0.19,0.62
26926,0.43,0.53
26927,0.47,0.59
26928,0.09,0.64
26929,0.13,0.32
26930,0.62,0.76
26931,0.11,0.38
26932,0.13,0.89
26933,0.1,0.48
26934,0.51,0.79
26935,0.17,0.53
26936,0.34,0.27
26937,0.43,0.77
26938,0.06,0.06
26939,0.05,0.06
26940,0.12,0.22
26941,0.13,0.34
26942,0.45,0.69
26943,0.27,0.61
26944,0.06,0.13
26945,0.13,0.54
26946,0.28,0.69
26947,0.22,0.48
26948,0.07,0.07
26949,0.03,0.07
26950,0.1,0.58
26951,0.07,0.49
26952,0.69,0.88
26953,0.66,0.92
26954,0.03,0.08
26955,0.12,0.71
26956,0.07,0.14
26957,0.1,0.93
26958,0.35,0.7
26959,0.03,0.19
26960,0.0,0.13
26961,0.21,0.4
26962,0.16,0.88
26963,0.18,0.59
26964,0.05,0.29
26965,0.77,0.88
26966,0.03,0.1
26967,0.29,0.48
26968,0.04,0.81
26969,0.13,0.28
26970,0.54,0.6
26971,0.11,0.1
26972,0.06,0.07
26973,0.13,0.17
26974,0.22,0.28
26975,0.09,0.65
26976,0.66,0.61
26977,0.1,0.32
26978,0.04,0.66
26979,0.46,0.82
26980,0.09,0.07
26981,0.19,0.44
26982,0.65,0.73
26983,0.16,0.53
26984,0.08,0.16
26985,0.08,0.13
26986,0.12,0.32
26987,0.03,0.29
26988,0.05,0.15
26989,0.23,0.81
26990,0.06,0.14
26991,0.32,0.46
26992,0.27,0.54
26993,0.06,0.91
26994,0.17,0.36
26995,0.29,0.37
26996,0.27,0.35
26997,0.03,0.08
26998,0.05,0.05
26999,0.29,0.39
27000,0.09,0.31
27001,0.13,0.89
27002,0.0,0.35
27003,0.07,0.04
27004,0.3,0.23
27005,0.52,0.71
27006,0.68,0.72
27007,0.04,0.2
27008,0.2,0.07
27009,0.04,0.28
27010,0.05,0.11
27011,0.13,0.18
27012,0.33,0.55
27013,0.13,0.58
27014,0.02,0.3
27015,0.22,0.1
27016,0.2,0.37
27017,0.36,0.88
27018,0.05,0.32
27019,0.77,0.94
27020,0.25,0.39
27021,0.19,0.57
27022,0.09,0.29
27023,0.13,0.2
27024,0.11,0.45
27025,0.26,0.2
27026,0.07,0.41
27027,0.06,0.8
27028,0.35,0.89
27029,0.21,0.36
27030,0.13,0.24
27031,0.27,0.85
27032,0.25,0.7
27033,0.32,0.6
27034,0.09,0.49
27035,0.2,0.24
27036,0.16,0.65
27037,0.51,0.68
27038,0.01,0.01
27039,0.66,0.94
27040,0.3,0.32
27041,0.09,0.64
27042,0.07,0.61
27043,0.33,0.65
27044,0.03,0.06
27045,0.1,0.54
27046,0.02,0.13
27047,0.5,0.46
27048,0.14,0.59
27049,0.41,0.73
27050,0.05,0.56
27051,0.08,0.15
27052,0.09,0.24
27053,0.73,0.93
27054,0.03,0.01
27055,0.16,0.96
27056,0.12,0.08
27057,0.06,0.04
27058,0.77,0.89
27059,0.07,0.11
27060,0.09,0.29
27061,0.09,0.48
27062,0.11,0.39
27063,0.07,0.52
27064,0.17,0.42
27065,0.12,0.44
27066,0.06,0.58
27067,0.43,0.84
27068,0.76,0.9
27069,0.56,0.88
27070,0.05,0.08
27071,0.1,0.05
27072,0.23,0.46
27073,0.08,0.83
27074,0.09,0.31
27075,0.67,0.78
27076,0.47,0.62
27077,0.04,0.15
27078,0.24,0.85
27079,0.5,0.88
27080,0.0,0.13
27081,0.18,0.78
27082,0.19,0.35
27083,0.08,0.25
27084,0.62,0.68
27085,0.02,0.11
27086,0.1,0.17
27087,0.19,0.25
27088,0.33,0.66
27089,0.1,0.11
27090,0.18,0.74
27091,0.43,0.43
27092,0.04,0.27
27093,0.17,0.24
27094,0.02,0.17
27095,0.26,0.66
27096,0.08,0.13
27097,0.57,0.69
27098,0.46,0.8
27099,0.25,0.53
27100,0.15,0.8
27101,0.17,0.58
27102,0.11,0.74
27103,0.04,0.12
27104,0.17,0.58
27105,0.16,0.4
27106,0.47,0.75
27107,0.47,0.68
27108,0.31,0.27
27109,0.09,0.1
27110,0.1,0.33
27111,0.1,0.45
27112,0.29,0.55
27113,0.08,0.06
27114,0.0,0.11
27115,0.56,0.69
27116,0.11,0.88
27117,0.03,0.18
27118,0.11,0.37
27119,0.11,0.33
27120,0.41,0.92
27121,0.06,0.67
27122,0.08,0.34
27123,0.08,0.14
27124,0.11,0.22
27125,0.01,0.03
27126,0.13,0.2
27127,0.08,0.05
27128,0.11,0.41
27129,0.27,0.55
27130,0.11,0.32
27131,0.02,0.11
27132,0.64,0.96
27133,0.13,0.62
27134,0.73,0.97
27135,0.21,0.74
27136,0.03,0.59
27137,0.09,0.21
27138,0.19,0.49
27139,0.11,0.34
27140,0.76,0.86
27141,0.64,0.67
27142,0.02,0.22
27143,0.34,0.41
27144,0.09,0.15
27145,0.45,0.59
27146,0.1,0.79
27147,0.05,0.22
27148,0.15,0.06
27149,0.35,0.19
27150,0.52,0.85
27151,0.12,0.72
27152,0.0,0.21
27153,0.14,0.78
27154,0.58,0.86
27155,0.18,0.84
27156,0.02,0.24
27157,0.02,0.44
27158,0.03,0.3
27159,0.07,0.08
27160,0.25,0.34
27161,0.33,0.67
27162,0.15,0.91
27163,0.47,0.39
27164,0.34,0.16
27165,0.46,0.71
27166,0.25,0.27
27167,0.16,0.66
27168,0.24,0.58
27169,0.48,0.69
27170,0.38,0.8
27171,0.06,0.23
27172,0.06,0.72
27173,0.18,0.47
27174,0.18,0.19
27175,0.04,0.14
27176,0.62,0.93
27177,0.69,0.73
27178,0.07,0.31
27179,0.09,0.3
27180,0.29,0.43
27181,0.02,0.92
27182,0.6,0.81
27183,0.04,0.69
27184,0.18,0.42
27185,0.39,0.7
27186,0.16,0.87
27187,0.12,0.2
27188,0.05,0.42
27189,0.12,0.63
27190,0.47,0.85
27191,0.23,0.94
27192,0.39,0.79
27193,0.05,0.17
27194,0.18,0.4
27195,0.06,0.15
27196,0.33,0.23
27197,0.07,0.57
27198,0.7,0.92
27199,0.2,0.39
27200,0.32,0.47
27201,0.68,0.85
27202,0.08,0.16
27203,0.05,0.19
27204,0.01,0.02
27205,0.11,0.3
27206,0.22,0.42
27207,0.08,0.16
27208,0.57,0.71
27209,0.15,0.25
27210,0.22,0.27
27211,0.13,0.33
27212,0.46,0.8
27213,0.43,0.55
27214,0.03,0.05
27215,0.09,0.67
27216,0.2,0.77
27217,0.13,0.29
27218,0.43,0.79
27219,0.52,0.55
27220,0.22,0.36
27221,0.26,0.72
27222,0.16,0.59
27223,0.12,0.69
27224,0.15,0.62
27225,0.13,0.15
27226,0.08,0.35
27227,0.12,0.21
27228,0.49,0.81
27229,0.4,0.73
27230,0.14,0.87
27231,0.49,0.85
27232,0.11,0.49
27233,0.32,0.47
27234,0.03,0.07
27235,0.67,0.95
27236,0.07,0.81
27237,0.4,0.65
27238,0.34,0.82
27239,0.37,0.28
27240,0.13,0.37
27241,0.07,0.14
27242,0.23,0.75
27243,0.06,0.16
27244,0.03,0.11
27245,0.34,0.44
27246,0.66,0.94
27247,0.24,0.98
27248,0.08,0.67
27249,0.14,0.63
27250,0.03,0.08
27251,0.13,0.49
27252,0.24,0.47
27253,0.09,0.84
27254,0.84,0.99
27255,0.13,0.27
27256,0.66,0.82
27257,0.4,0.56
27258,0.52,0.78
27259,0.62,0.75
27260,0.24,0.39
27261,0.11,0.69
27262,0.09,0.46
27263,0.13,0.11
27264,0.17,0.22
27265,0.06,0.4
27266,0.22,0.31
27267,0.34,0.5
27268,0.16,0.17
27269,0.45,0.59
27270,0.03,0.13
27271,0.11,0.25
27272,0.07,0.47
27273,0.06,0.23
27274,0.04,0.49
27275,0.06,0.46
27276,0.05,0.22
27277,0.04,0.87
27278,0.21,0.3
27279,0.09,0.29
27280,0.26,0.3
27281,0.12,0.36
27282,0.11,0.85
27283,0.03,0.29
27284,0.28,0.5
27285,0.1,0.38
27286,0.11,0.51
27287,0.26,0.7
27288,0.54,0.76
27289,0.34,0.55
27290,0.03,0.02
27291,0.52,0.79
27292,0.07,0.57
27293,0.05,0.93
27294,0.11,0.05
27295,0.37,0.85
27296,0.12,0.85
27297,0.11,0.68
27298,0.1,0.32
27299,0.2,0.51
27300,0.19,0.69
27301,0.02,0.09
27302,0.07,0.77
27303,0.09,0.3
27304,0.11,0.84
27305,0.04,0.12
27306,0.19,0.62
27307,0.66,0.84
27308,0.11,0.14
27309,0.79,0.93
27310,0.08,0.18
27311,0.19,0.25
27312,0.23,0.61
27313,0.03,0.21
27314,0.06,0.06
27315,0.06,0.2
27316,0.51,0.73
27317,0.17,0.26
27318,0.17,0.24
27319,0.28,0.77
27320,0.6,0.8
27321,0.03,0.72
27322,0.39,0.54
27323,0.12,0.4
27324,0.42,0.68
27325,0.67,0.98
27326,0.21,0.63
27327,0.28,0.47
27328,0.31,0.41
27329,0.06,0.23
27330,0.05,0.65
27331,0.07,0.25
27332,0.25,0.9
27333,0.65,0.72
27334,0.06,0.05
27335,0.18,0.22
27336,0.1,0.17
27337,0.27,0.54
27338,0.21,0.39
27339,0.3,0.48
27340,0.04,0.15
27341,0.09,0.73
27342,0.13,0.53
27343,0.0,0.03
27344,0.4,0.44
27345,0.19,0.32
27346,0.59,0.91
27347,0.6,0.84
27348,0.05,0.25
27349,0.15,0.2
27350,0.2,0.86
27351,0.62,0.82
27352,0.13,0.42
27353,0.06,0.16
27354,0.28,0.77
27355,0.27,0.35
27356,0.23,0.68
27357,0.04,0.39
27358,0.21,0.63
27359,0.37,0.7
27360,0.2,0.57
27361,0.1,0.82
27362,0.19,0.52
27363,0.23,0.22
27364,0.06,0.5
27365,0.22,0.66
27366,0.47,0.7
27367,0.31,0.54
27368,0.04,0.56
27369,0.02,0.09
27370,0.1,0.79
27371,0.23,0.44
27372,0.05,0.21
27373,0.68,0.83
27374,0.0,0.35
27375,0.35,0.89
27376,0.36,0.4
27377,0.22,0.48
27378,0.02,0.14
27379,0.09,0.25
27380,0.22,0.88
27381,0.1,0.61
27382,0.23,0.34
27383,0.12,0.51
27384,0.09,0.45
27385,0.07,0.94
27386,0.21,0.79
27387,0.33,0.73
27388,0.06,0.37
27389,0.12,0.15
27390,0.02,0.09
27391,0.17,0.71
27392,0.79,0.88
27393,0.0,0.08
27394,0.06,0.44
27395,0.58,0.53
27396,0.02,0.14
27397,0.71,0.92
27398,0.38,0.79
27399,0.17,0.45
27400,0.06,0.65
27401,0.38,0.41
27402,0.23,0.59
27403,0.01,0.13
27404,0.24,0.27
27405,0.81,0.87
27406,0.04,0.19
27407,0.16,0.2
27408,0.1,0.51
27409,0.62,0.92
27410,0.07,0.15
27411,0.05,0.36
27412,0.24,0.69
27413,0.18,0.44
27414,0.52,0.62
27415,0.09,0.49
27416,0.02,0.24
27417,0.28,0.55
27418,0.32,0.24
27419,0.6,0.94
27420,0.08,0.22
27421,0.12,0.26
27422,0.33,0.75
27423,0.02,0.26
27424,0.15,0.56
27425,0.33,0.58
27426,0.2,0.24
27427,0.14,0.38
27428,0.03,0.07
27429,0.35,0.35
27430,0.17,0.57
27431,0.21,0.67
27432,0.17,0.6
27433,0.1,0.67
27434,0.05,0.3
27435,0.12,0.42
27436,0.04,0.15
27437,0.07,0.18
27438,0.08,0.17
27439,0.24,0.57
27440,0.07,0.16
27441,0.76,0.87
27442,0.29,0.7
27443,0.03,0.2
27444,0.05,0.1
27445,0.11,0.08
27446,0.23,0.25
27447,0.07,0.12
27448,0.32,0.62
27449,0.18,0.84
27450,0.19,0.61
27451,0.03,0.1
27452,0.04,0.16
27453,0.19,0.89
27454,0.11,0.38
27455,0.13,0.37
27456,0.26,0.48
27457,0.02,0.2
27458,0.08,0.45
27459,0.04,0.12
27460,0.71,0.85
27461,0.13,0.19
27462,0.05,0.38
27463,0.12,0.34
27464,0.55,0.57
27465,0.77,0.94
27466,0.04,0.11
27467,0.06,0.24
27468,0.1,0.5
27469,0.08,0.49
27470,0.72,0.89
27471,0.08,0.77
27472,0.26,0.62
27473,0.08,0.31
27474,0.13,0.41
27475,0.07,0.06
27476,0.17,0.43
27477,0.14,0.27
27478,0.09,0.59
27479,0.12,0.2
27480,0.51,0.78
27481,0.53,0.79
27482,0.25,0.38
27483,0.43,0.75
27484,0.4,0.77
27485,0.14,0.71
27486,0.17,0.2
27487,0.18,0.9
27488,0.78,0.84
27489,0.8,0.66
27490,0.09,0.28
27491,0.43,0.4
27492,0.08,0.4
27493,0.14,0.87
27494,0.47,0.67
27495,0.24,0.3
27496,0.0,0.08
27497,0.17,0.15
27498,0.14,0.63
27499,0.25,0.89
27500,0.16,0.76
27501,0.02,0.31
27502,0.13,0.57
27503,0.11,0.69
27504,0.07,0.13
27505,0.05,0.14
27506,0.27,0.7
27507,0.13,0.23
27508,0.08,0.18
27509,0.14,0.49
27510,0.4,0.37
27511,0.24,0.56
27512,0.09,0.26
27513,0.24,0.63
27514,0.36,0.59
27515,0.39,0.45
27516,0.28,0.79
27517,0.09,0.08
27518,0.52,0.89
27519,0.03,0.06
27520,0.01,0.04
27521,0.05,0.39
27522,0.08,0.16
27523,0.04,0.14
27524,0.18,0.57
27525,0.13,0.31
27526,0.43,0.73
27527,0.03,0.95
27528,0.45,0.81
27529,0.16,0.63
27530,0.01,0.14
27531,0.07,0.14
27532,0.13,0.89
27533,0.21,0.47
27534,0.11,0.14
27535,0.06,0.8
27536,0.15,0.32
27537,0.66,0.78
27538,0.25,0.42
27539,0.22,0.86
27540,0.44,0.29
27541,0.71,0.99
27542,0.04,0.13
27543,0.49,0.67
27544,0.14,0.29
27545,0.13,0.11
27546,0.66,0.67
27547,0.16,0.24
27548,0.11,0.93
27549,0.1,0.79
27550,0.18,0.32
27551,0.15,0.65
27552,0.1,0.78
27553,0.07,0.57
27554,0.3,0.48
27555,0.07,0.11
27556,0.13,0.57
27557,0.3,0.94
27558,0.08,0.23
27559,0.21,0.74
27560,0.32,0.68
27561,0.37,0.7
27562,0.21,0.6
27563,0.31,0.52
27564,0.2,0.27
27565,0.2,0.27
27566,0.12,0.51
27567,0.22,0.59
27568,0.49,0.92
27569,0.42,0.5
27570,0.53,0.77
27571,0.05,0.1
27572,0.04,0.03
27573,0.02,0.13
27574,0.44,0.59
27575,0.09,0.33
27576,0.01,0.1
27577,0.2,0.39
27578,0.1,0.53
27579,0.05,0.41
27580,0.07,0.71
27581,0.14,0.21
27582,0.02,0.15
27583,0.09,0.19
27584,0.6,0.58
27585,0.29,0.46
27586,0.66,0.87
27587,0.05,0.79
27588,0.11,0.33
27589,0.1,0.58
27590,0.37,0.54
27591,0.28,0.73
27592,0.0,0.09
27593,0.03,0.1
27594,0.28,0.8
27595,0.03,0.19
27596,0.12,0.19
27597,0.18,0.28
27598,0.18,0.22
27599,0.41,0.77
27600,0.06,0.57
27601,0.21,0.63
27602,0.73,0.78
27603,0.12,0.06
27604,0.12,0.31
27605,0.47,0.56
27606,0.12,0.26
27607,0.31,0.53
27608,0.18,0.49
27609,0.4,0.71
27610,0.31,0.6
27611,0.28,0.2
27612,0.03,0.61
27613,0.64,0.87
27614,0.07,0.42
27615,0.17,0.94
27616,0.08,0.1
27617,0.32,0.42
27618,0.28,0.45
27619,0.19,0.31
27620,0.36,0.65
27621,0.18,0.33
27622,0.65,0.93
27623,0.22,0.82
27624,0.23,0.71
27625,0.07,0.37
27626,0.03,0.16
27627,0.68,0.74
27628,0.13,0.71
27629,0.02,0.09
27630,0.41,0.82
27631,0.17,0.31
27632,0.13,0.4
27633,0.53,0.69
27634,0.12,0.3
27635,0.04,0.34
27636,0.26,0.71
27637,0.1,0.11
27638,0.19,0.35
27639,0.02,0.41
27640,0.49,0.55
27641,0.52,0.46
27642,0.51,0.74
27643,0.13,0.12
27644,0.11,0.54
27645,0.21,0.15
27646,0.07,0.44
27647,0.14,0.26
27648,0.08,0.12
27649,0.17,0.29
27650,0.11,0.58
27651,0.28,0.76
27652,0.14,0.35
27653,0.03,0.1
27654,0.34,0.66
27655,0.13,0.46
27656,0.13,0.27
27657,0.34,0.28
27658,0.15,0.5
27659,0.05,0.07
27660,0.41,0.39
27661,0.21,0.13
27662,0.15,0.28
27663,0.29,0.74
27664,0.21,0.17
27665,0.48,0.6
27666,0.05,0.74
27667,0.01,0.1
27668,0.9,0.94
27669,0.16,0.82
27670,0.54,0.88
27671,0.26,0.82
27672,0.04,0.18
27673,0.02,0.17
27674,0.08,0.64
27675,0.51,0.83
27676,0.36,0.9
27677,0.03,0.22
27678,0.24,0.32
27679,0.08,0.53
27680,0.58,0.93
27681,0.06,0.15
27682,0.04,0.82
27683,0.08,0.65
27684,0.01,0.13
27685,0.05,0.17
27686,0.22,0.4
27687,0.09,0.17
27688,0.08,0.7
27689,0.65,0.93
27690,0.7,0.91
27691,0.46,0.92
27692,0.08,0.31
27693,0.11,0.64
27694,0.05,0.45
27695,0.29,0.4
27696,0.16,0.81
27697,0.44,0.71
27698,0.31,0.34
27699,0.05,0.15
27700,0.08,0.43
27701,0.31,0.46
27702,0.29,0.34
27703,0.05,0.09
27704,0.05,0.15
27705,0.54,0.64
27706,0.14,0.78
27707,0.02,0.33
27708,0.28,0.53
27709,0.21,0.22
27710,0.15,0.15
27711,0.57,0.79
27712,0.04,0.08
27713,0.03,0.12
27714,0.17,0.2
27715,0.78,0.73
27716,0.29,0.47
27717,0.25,0.09
27718,0.17,0.34
27719,0.01,0.02
27720,0.05,0.43
27721,0.39,0.39
27722,0.19,0.32
27723,0.31,0.89
27724,0.09,0.31
27725,0.03,0.51
27726,0.11,0.33
27727,0.16,0.98
27728,0.35,0.35
27729,0.03,0.1
27730,0.57,0.66
27731,0.75,0.88
27732,0.12,0.94
27733,0.0,0.25
27734,0.11,0.4
27735,0.49,0.65
27736,0.13,0.19
27737,0.17,0.6
27738,0.56,0.98
27739,0.57,0.79
27740,0.07,0.28
27741,0.34,0.65
27742,0.25,0.5
27743,0.47,0.73
27744,0.04,0.28
27745,0.86,0.94
27746,0.08,0.69
27747,0.11,0.26
27748,0.25,0.19
27749,0.26,0.72
27750,0.27,0.28
27751,0.11,0.08
27752,0.43,0.81
27753,0.04,0.08
27754,0.23,0.72
27755,0.7,0.88
27756,0.13,0.32
27757,0.0,0.08
27758,0.05,0.76
27759,0.03,0.1
27760,0.5,0.85
27761,0.21,0.85
27762,0.19,0.27
27763,0.04,0.52
27764,0.33,0.46
27765,0.16,0.62
27766,0.7,0.85
27767,0.43,0.77
27768,0.09,0.12
27769,0.04,0.25
27770,0.06,0.61
27771,0.04,0.64
27772,0.72,0.88
27773,0.08,0.36
27774,0.13,0.2
27775,0.07,0.27
27776,0.06,0.07
27777,0.13,0.5
27778,0.26,0.16
27779,0.2,0.29
27780,0.1,0.88
27781,0.02,0.14
27782,0.72,0.92
27783,0.11,0.6
27784,0.2,0.13
27785,0.1,0.25
27786,0.11,0.25
27787,0.13,0.25
27788,0.03,0.04
27789,0.62,0.86
27790,0.59,0.64
27791,0.04,0.41
27792,0.05,0.53
27793,0.25,0.19
27794,0.15,0.28
27795,0.54,0.81
27796,0.18,0.53
27797,0.49,0.59
27798,0.22,0.2
27799,0.16,0.22
27800,0.12,0.29
27801,0.03,0.28
27802,0.56,0.92
27803,0.09,0.04
27804,0.73,0.86
27805,0.08,0.29
27806,0.56,0.77
27807,0.18,0.75
27808,0.23,0.21
27809,0.58,0.9
27810,0.04,0.2
27811,0.01,0.14
27812,0.03,0.09
27813,0.11,0.52
27814,0.08,0.23
27815,0.11,0.32
27816,0.47,0.57
27817,0.07,0.21
27818,0.31,0.77
27819,0.17,0.2
27820,0.49,0.67
27821,0.16,0.21
27822,0.09,0.22
27823,0.32,0.48
27824,0.16,0.67
27825,0.3,0.3
27826,0.21,0.64
27827,0.04,0.06
27828,0.1,0.2
27829,0.08,0.11
27830,0.32,0.21
27831,0.22,0.49
27832,0.19,0.38
27833,0.21,0.39
27834,0.6,0.78
27835,0.56,0.74
27836,0.15,0.9
27837,0.71,0.83
27838,0.07,0.5
27839,0.06,0.29
27840,0.34,0.58
27841,0.2,0.47
27842,0.25,0.73
27843,0.07,0.47
27844,0.17,0.92
27845,0.06,0.68
27846,0.29,0.17
27847,0.15,0.55
27848,0.79,0.93
27849,0.12,0.7
27850,0.19,0.23
27851,0.42,0.22
27852,0.27,0.66
27853,0.12,0.26
27854,0.2,0.71
27855,0.12,0.56
27856,0.4,0.78
27857,0.46,0.83
27858,0.64,0.87
27859,0.69,0.85
27860,0.19,0.75
27861,0.03,0.29
27862,0.13,0.25
27863,0.23,0.27
27864,0.06,0.33
27865,0.34,0.53
27866,0.75,0.78
27867,0.49,0.54
27868,0.62,0.84
27869,0.04,0.37
27870,0.29,0.16
27871,0.11,0.61
27872,0.09,0.13
27873,0.26,0.1
27874,0.33,0.66
27875,0.3,0.55
27876,0.12,0.1
27877,0.51,0.72
27878,0.17,0.71
27879,0.06,0.65
27880,0.09,0.25
27881,0.06,0.76
27882,0.08,0.39
27883,0.04,0.09
27884,0.2,0.25
27885,0.02,0.11
27886,0.12,0.19
27887,0.39,0.53
27888,0.15,0.47
27889,0.14,0.14
27890,0.2,0.37
27891,0.31,0.52
27892,0.12,0.21
27893,0.03,0.3
27894,0.23,0.29
27895,0.08,0.77
27896,0.09,0.54
27897,0.03,0.02
27898,0.08,0.17
27899,0.04,0.48
27900,0.37,0.81
27901,0.04,0.11
27902,0.1,0.28
27903,0.18,0.21
27904,0.32,0.38
27905,0.16,0.21
27906,0.11,0.74
27907,0.84,0.95
27908,0.34,0.53
27909,0.09,0.26
27910,0.16,0.58
27911,0.41,0.56
27912,0.14,0.48
27913,0.04,0.31
27914,0.09,0.4
27915,0.02,0.34
27916,0.27,0.5
27917,0.14,0.49
27918,0.33,0.92
27919,0.16,0.55
27920,0.16,0.65
27921,0.17,0.5
27922,0.39,0.6
27923,0.06,0.75
27924,0.22,0.18
27925,0.02,0.06
27926,0.13,0.35
27927,0.04,0.24
27928,0.7,0.88
27929,0.04,0.94
27930,0.2,0.33
27931,0.68,0.9
27932,0.12,0.22
27933,0.02,0.33
27934,0.43,0.75
27935,0.24,0.73
27936,0.19,0.69
27937,0.64,0.85
27938,0.06,0.26
27939,0.04,0.1
27940,0.01,0.15
27941,0.05,0.19
27942,0.07,0.2
27943,0.1,0.68
27944,0.32,0.38
27945,0.4,0.4
27946,0.05,0.11
27947,0.51,0.87
27948,0.02,0.17
27949,0.13,0.62
27950,0.18,0.83
27951,0.36,0.68
27952,0.14,0.84
27953,0.1,0.6
27954,0.12,0.77
27955,0.03,0.81
27956,0.57,0.85
27957,0.1,0.27
27958,0.52,0.86
27959,0.26,0.44
27960,0.32,0.63
27961,0.11,0.16
27962,0.66,0.78
27963,0.03,0.07
27964,0.01,0.06
27965,0.01,0.12
27966,0.35,0.79
27967,0.01,0.1
27968,0.2,0.39
27969,0.71,0.9
27970,0.23,0.36
27971,0.05,0.64
27972,0.11,0.59
27973,0.62,0.77
27974,0.16,0.39
